idx,r1,r2,a2,E,rmse,Erel
87,0.959,0.959,98.45,-47946.1960744959,1.275107806175906,0.5407820854015881
88,0.959,0.959,100.45,-47946.5189247894,1.063465694852176,0.21793179189990042
89,0.959,0.959,102.45,-47946.69770039411,0.8563549121222086,0.03915618719474878
90,0.959,0.959,104.45,-47946.7368565813,0.6586463242205558,0.0
91,0.959,0.959,106.45,-47946.6412878744,0.4830051468718578,0.09556870689993957
92,0.959,0.959,108.45,-47946.4158887968,0.3636655423157909,0.32096778450068086
93,0.959,0.959,110.45,-47946.0657421228,0.3615945638229951,0.6711144584987778
94,0.959,0.959,112.45,-47945.596118877605,0.47725883772295563,1.1407377036957769
95,0.959,0.959,114.45,-47945.01241558701,0.6502039730213987,1.7244409942941274
96,0.959,0.959,116.45,-47944.320468028905,0.8455827760674541,2.4163885523958015
97,0.959,0.959,118.45,-47943.5260492309,1.0497997774528889,3.2108073503986816
98,0.959,0.959,120.45,-47942.635308722405,1.2574612940658714,4.101547858896083
99,0.959,0.959,122.45,-47941.654647034,1.465617952638645,5.08220954729768
100,0.959,1.009,84.45,-47939.4873144223,3.4373195678094883,7.2495421589992475
101,0.959,1.009,86.45,-47940.8446034113,3.2171054384494084,5.892253170000913
102,0.959,1.009,88.45,-47942.0325920909,2.996738109523718,4.70426449039951
103,0.959,1.009,90.45,-47943.054982728805,2.7757226005715983,3.68187385249621
104,0.959,1.009,92.45,-47943.915665843604,2.554947685523859,2.8211907376971794
105,0.959,1.009,94.45,-47944.618469203604,2.3340304612399585,2.1183873776972177
106,0.959,1.009,96.45,-47945.1672205771,2.113085531800001,1.5696360041984008
107,0.959,1.009,98.45,-47945.56606148391,1.8945529981160043,1.1707950973941479
108,0.959,1.009,100.45,-47945.8189451929,1.677604400859208,0.9179113884019898
109,0.959,1.009,102.45,-47945.9302014748,1.4627210960913786,0.8066551064985106
110,0.959,1.009,104.45,-47945.90409735,1.2541437597578735,0.8327592312998604
111,0.959,1.009,106.45,-47945.745150840106,1.0558314628215972,0.9917057411948917
112,0.959,1.009,108.45,-47945.45806821761,0.873851886573821,1.2787883636920014
113,0.959,1.009,110.45,-47945.04755575501,0.7228982061832637,1.6893008262923104
114,0.959,1.009,112.45,-47944.51869622661,0.6250779356181158,2.2181603546923725
115,0.959,1.009,114.45,-47943.8767606576,0.6068009906333186,2.86009592370101
116,0.959,1.009,116.45,-47943.12702007321,0.6736667363612046,3.609836508090666
117,0.959,1.009,118.45,-47942.275247501006,0.8040568747761646,4.461609080295602
118,0.959,1.009,120.45,-47941.3273414692,0.9730702129950121,5.409515112100053
119,0.959,1.009,122.45,-47940.289451507204,1.1613078571238036,6.4474050740973325
120,1.009,0.909,84.45,-47936.444866126796,2.9686915941886562,10.29199045450514
121,1.009,0.909,86.45,-47937.887181772305,2.774839844367837,8.849674808996497
122,1.009,0.909,88.45,-47939.155804587404,2.5811620360258676,7.5810519938968355
