,rmse,pkl,class,alpha,uuid,l2,type
39,0.502473644940048,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_18_5.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
40,0.5107707658440417,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_14_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
41,0.5162541924724966,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_11_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
42,0.49311979996289884,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_0_6.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
43,0.5145654527096677,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_54_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
44,0.4954397683938187,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_46_6.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
45,0.5199866107437083,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_7_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
46,0.5176940082145522,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_5_6.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
47,0.5164557109777884,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_49_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
48,0.5083624015484931,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_35_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
49,0.5001037545049466,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_40_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
50,0.5061258877253123,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_1_5.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
51,0.4967954616990585,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_45_3.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
52,0.49863417466293736,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_30_3.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
